[SYMBOLS]
;;Gage           X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
CHS5		35882.62430614792		5000.0
CTS1		42884.81317851599		19852.76019025687
CTS2		29674.038762816228		15457.259279164486
CTS3		46016.07814592868		16945.38116063457
CTS4		36846.90488168318		22886.175292210653
CTUMA		43616.27030118834		25931.466354628094
FRS1		40354.44758317713		25611.69864834845
HRS1		34912.682103622705		5897.8012875225395
HRS2		30584.495142986067		9646.157331263646
MAS2		53836.08937823493		10138.491493519396
PG01		77794.71725493018		105000.0
PG02		22523.045456204563		66311.1147808209
PG027		27292.50149491802		14628.992641561665
PG028		70404.20927575696		27607.57919083815
PG03		39811.953165740706		59480.350117115304
PG04		20157.050466297194		82486.35178819206
PG05		27194.207726299763		33852.798029835336
PG06		21682.557143900543		90250.6607538918
PG07		86373.82881405577		64228.51222800277
PG08		36531.408960369416		55407.14825290069
PG09		57107.75861169584		70602.20836449228
PG10		32734.082128765993		86631.61630571447
PG11		19485.476953019388		76551.63825038355
PG12		45528.396203497425		70915.32586191688
PG13		55866.49488911219		65475.90731338132
PG14		24057.59633968305		47060.42581519112
PG15		33373.35271213483		75287.26460532006
PG16		25225.45112234354		71952.08982577268
PG17		51179.43539868295		61045.659925960004
PG18		31740.668478574604		64297.937364661135
PG19		26100.83089403715		55998.23562094942
PG20		19034.22346312832		62221.51333792787
PG21		31844.49109633267		46535.54704896454
PG22		18233.89853948448		51969.25840380881
PG23		11702.033859545365		53216.38379262667
PG24		39456.6207755683		67122.88835822884
PG25		11940.01518175006		42125.74723927211
PG26		18598.255126334727		68712.51629960071
PG29		105000.0		34531.18825905211
PG30		45263.3751398325		77370.22655514628
PG31		12463.493202649057		56262.34007273894
PG32		70807.98970585782		75272.2028054567
PG33		65881.49734531343		88315.49213878345
PG34		43930.649962130934		82598.55313847493
STS1		53972.16906856466		23380.766194342636
STS2		48059.59932931233		31106.045837624
STS3		52819.65981553402		26822.02053850703
STS4		44730.210476192646		31640.57953485381
STS5		45613.52435125969		27512.63336148113
STS6		49935.68612799607		20890.202818583697
SYS1		66636.65290648583		23293.914442892186
SYS2		76126.44706483372		18976.386696690693
SYS3		55972.46576011274		11782.478587456048
UTS1		62477.673393505625		21552.929592859
